time,epoch,lr,train_loss,Train_OA,Val_OA
07-05-23:18,1,0.0005934449357921196,0.7544,0.7832,0.7584
07-05-23:18,2,0.0005999743008423749,0.7442,0.8365,0.8388
07-05-23:18,3,0.00032356537494548167,0.5666,0.8466,0.8405
07-05-23:18,4,4.392748964348417e-06,0.538,0.8749,0.8728
07-05-23:18,5,0.0005380122014871617,0.5979,0.8583,0.7955
07-05-23:18,6,0.00035276361009190833,0.6294,0.8729,0.8612
07-05-23:18,7,0.000139961653660794,0.4661,0.887,0.8754
07-05-23:18,8,1.0795571384396326e-05,0.554,0.8986,0.8872
07-05-23:18,9,0.000591711805021691,0.6263,0.885,0.8183
07-05-23:18,10,0.0005466857976503627,0.5292,0.8795,0.8161
07-05-23:18,11,0.0004683132451916831,0.6654,0.8832,0.8561
07-05-23:18,12,0.00036718969771611375,0.5035,0.8967,0.8676
07-05-23:18,13,0.0002569865181813059,0.5011,0.9019,0.88
07-05-23:18,14,0.0001526025872547077,0.3608,0.9077,0.8831
07-05-23:18,15,6.815005430477978e-05,0.4332,0.9155,0.8976
07-05-23:18,16,1.5046450257545142e-05,0.4469,0.9181,0.8978
07-05-23:18,17,0.0005998972077729179,0.4781,0.9173,0.816
07-05-23:18,18,0.000593342494850881,0.6533,0.8773,0.8712
07-05-23:18,19,0.0005767889990738727,0.504,0.8913,0.8615
07-05-23:18,20,0.0005508010155628667,0.5013,0.8983,0.841
07-05-23:18,21,0.0005162644534029745,0.4328,0.9034,0.8768
07-05-23:18,22,0.0004743566357279056,0.692,0.9072,0.886
07-05-23:18,23,0.00042650616573805143,0.4431,0.9136,0.8851
07-05-23:18,24,0.00037434422678678426,0.469,0.9149,0.8858
07-05-23:18,25,0.00031964897667516605,0.3791,0.9179,0.8902
07-05-23:18,26,0.0002642849317080424,0.4949,0.9244,0.8966
07-05-23:18,27,0.00021013940685943295,0.3994,0.9266,0.8934
07-05-23:18,28,0.00015905817874995175,0.4354,0.9296,0.8945
07-05-23:18,29,0.000112782564632693,0.5376,0.9327,0.8982
07-05-23:18,30,7.289006231344981e-05,0.3901,0.9346,0.8947
07-05-23:18,31,4.074057454179424e-05,0.4654,0.9371,0.8969
07-05-23:18,32,1.7430051039509263e-05,0.3878,0.9371,0.8987
07-05-23:18,33,3.753128471676556e-06,0.4124,0.9396,0.8983
07-05-23:18,34,0.000599970988113738,0.4567,0.9373,0.8784
07-05-23:18,35,0.0005983050284629005,0.4774,0.9048,0.8539
07-05-23:18,36,0.000594091641826665,0.4793,0.9065,0.8592
07-05-23:18,37,0.0005873668127622115,0.4591,0.9149,0.8633
07-05-23:18,38,0.0005781879748774393,0.4799,0.9113,0.8492
07-05-23:18,39,0.0005666335203174867,0.3928,0.9125,0.8595
07-05-23:18,40,0.000552802130254221,0.3814,0.922,0.8947
07-05-23:18,41,0.0005368119320966791,0.392,0.9212,0.8688
07-05-23:18,42,0.0005187994906203248,0.4562,0.9237,0.8695
07-05-23:18,43,0.0004989186416314142,0.3622,0.9294,0.8786
07-05-23:18,44,0.0004773391781275979,0.3737,0.9306,0.8894
07-05-23:18,45,0.00045424540017564066,0.4456,0.9294,0.8859
07-05-23:18,46,0.00042983454089107637,0.5239,0.9349,0.8844
07-05-23:18,47,0.00040431508196276327,0.3641,0.9314,0.8866
07-05-23:18,48,0.0003779049731086571,0.4242,0.9379,0.8909
07-05-23:18,49,0.00035082977066959193,0.3584,0.9387,0.8939
07-05-23:18,50,0.0003233207112384661,0.3568,0.9396,0.8912
07-05-23:18,51,0.0002956127367770618,0.4011,0.9417,0.8918
07-05-23:18,52,0.0002679424880870495,0.3514,0.9443,0.8946
07-05-23:18,53,0.0002405462837719973,0.3858,0.946,0.8919
07-05-23:18,54,0.00021365810195112395,0.3579,0.946,0.8869
07-05-23:18,55,0.0001875075819620291,0.3552,0.9471,0.8935
07-05-23:18,56,0.00016231806311892136,0.3276,0.9482,0.8913
07-05-23:18,57,0.00013830467727638724,0.433,0.9504,0.8937
07-05-23:18,58,0.00011567251148922095,0.357,0.9507,0.8937
07-05-23:18,59,9.461485646017176e-05,0.3619,0.9513,0.8941
