time,epoch,lr,train_loss,Train_OA,Val_OA
06-30-19:04,1,4.392748964348417e-06,1.0959,0.686,0.7367
06-30-19:04,2,1.0795571384396326e-05,0.8922,0.7298,0.7767
06-30-19:04,3,0.00036718969771611375,1.0171,0.7464,0.7588
06-30-19:04,4,1.5046450257545142e-05,1.2393,0.781,0.789
06-30-19:04,5,0.0005508010155628667,0.7735,0.77,0.7609
06-30-19:04,6,0.00037434422678678426,0.9283,0.7772,0.7831
06-30-19:04,7,0.00015905817874995175,0.8798,0.7946,0.8068
06-30-19:04,8,1.7430051039509263e-05,0.5812,0.8097,0.8081
06-30-19:04,9,0.000594091641826665,0.9101,0.7969,0.7966
06-30-19:04,10,0.000552802130254221,0.9654,0.792,0.7837
06-30-19:04,11,0.0004773391781275979,0.7663,0.7973,0.7927
06-30-19:04,12,0.0003779049731086571,0.9596,0.8084,0.8017
06-30-19:04,13,0.0002679424880870495,0.825,0.815,0.8257
06-30-19:04,14,0.00016231806311892136,1.2693,0.8229,0.7873
06-30-19:04,15,7.531155573479795e-05,0.541,0.8302,0.8276
06-30-19:04,16,1.8685780549279845e-05,0.5437,0.8373,0.8303
06-30-19:04,17,0.0005999909399593033,0.9028,0.8392,0.7922
06-30-19:04,18,0.0005944496153798054,0.7134,0.8059,0.7788
06-30-19:04,19,0.0005788717671127519,0.5773,0.8087,0.8183
06-30-19:04,20,0.0005537884312541303,0.7434,0.8126,0.7929
06-30-19:04,21,0.0005200546781910925,0.7776,0.8188,0.8114
06-30-19:04,22,0.0004788204639523857,0.6621,0.8249,0.8126
06-30-19:04,23,0.00043149142914864153,0.8231,0.8338,0.8327
06-30-19:04,24,0.0003796809818345653,0.6109,0.8345,0.8257
06-30-19:04,25,0.0003251552977490245,1.4191,0.8411,0.829
06-30-19:04,26,0.0002697731128298362,0.935,0.8466,0.8367
06-30-19:04,27,0.00021542236042713738,0.5378,0.8493,0.8352
06-30-19:04,28,0.0001639558132008694,0.6364,0.8551,0.8405
06-30-19:04,29,0.00011712792361741003,1.0781,0.8581,0.8461
06-30-19:04,30,7.653501610112346e-05,0.4783,0.8629,0.8383
06-30-19:04,31,4.356086964142371e-05,0.6228,0.866,0.8444
06-30-19:04,32,1.9329545899734983e-05,0.6552,0.8682,0.8395
06-30-19:04,33,4.667070867567937e-06,0.5944,0.8681,0.8437
06-30-19:04,34,0.0005999966809024817,0.464,0.8676,0.8429
06-30-19:04,35,0.0005985854746273947,0.8528,0.8373,0.8233
06-30-19:04,36,0.0005946244462078812,0.5359,0.8394,0.842
06-30-19:04,37,0.000588147424928068,0.4656,0.8447,0.7931
06-30-19:04,38,0.0005792097279859057,0.6478,0.8474,0.825
06-30-19:04,39,0.0005678876880549511,0.6553,0.8476,0.8429
06-30-19:04,40,0.0005542780013628384,0.6551,0.8511,0.8428
06-30-19:04,41,0.0005384969018541956,0.7749,0.8512,0.8318
06-30-19:04,42,0.0005206791684910925,0.5571,0.8589,0.8355
06-30-19:04,43,0.0005009769741692012,0.3996,0.8613,0.8327
06-30-19:04,44,0.00047955858608053474,0.5395,0.8666,0.8388
06-30-19:04,45,0.00045660692862235823,0.7538,0.8644,0.8413
06-30-19:04,46,0.00043231802112578987,0.667,0.8696,0.8508
06-30-19:04,47,0.0004068993037467202,0.8575,0.8739,0.8356
06-30-19:04,48,0.00038056786581682866,0.6297,0.8745,0.8558
06-30-19:04,49,0.00035354859178551943,0.4487,0.8761,0.8472
06-30-19:04,50,0.0003260722405874173,0.6409,0.8798,0.85
