time,epoch,lr,train_loss,Train_OA,Val_OA
30_June_22h_22m,1,0.0004414348791456946,2.2562,0.397,0.355
30_June_22h_22m,2,0.00045424540017564066,2.5719,0.4368,0.4645
30_June_22h_22m,3,4.2132700213443366e-07,1.8949,0.4692,0.4382
30_June_22h_22m,4,0.00046051323603753263,1.9735,0.4581,0.4397
30_June_22h_22m,5,0.00016516008944350775,2.1791,0.4901,0.4713
30_June_22h_22m,6,8.727817100932985e-07,1.611,0.5194,0.4825
30_June_22h_22m,7,0.0005662952569322441,2.0042,0.4939,0.4615
30_June_22h_22m,8,0.00046361113677696123,2.0269,0.5018,0.4773
30_June_22h_22m,9,0.0003184243812685735,1.565,0.5254,0.507
30_June_22h_22m,10,0.00016845828692559783,1.3568,0.5569,0.5329
30_June_22h_22m,11,5.267794684357603e-05,1.6535,0.5648,0.5263
30_June_22h_22m,12,1.166105723532083e-06,1.6456,0.5655,0.5304
30_June_22h_22m,13,0.0005931091319530464,1.8417,0.5396,0.5104
30_June_22h_22m,14,0.00056713790351173,1.7277,0.5407,0.4421
30_June_22h_22m,15,0.0005235249838988765,1.6639,0.5517,0.5458
30_June_22h_22m,16,0.00046515087814179333,1.7907,0.5642,0.5166
30_June_22h_22m,17,0.0003958710241838802,1.3117,0.5721,0.499
30_June_22h_22m,18,0.0003202611525515124,1.9551,0.5889,0.5357
30_June_22h_22m,19,0.00024331507281498264,1.6803,0.5901,0.5209
30_June_22h_22m,20,0.00017011484715862002,1.4943,0.6017,0.5288
30_June_22h_22m,21,0.00010549513512539692,1.8135,0.612,0.5648
30_June_22h_22m,22,5.372387857811834e-05,2.0217,0.6189,0.5797
30_June_22h_22m,23,1.822041669605109e-05,1.5241,0.623,0.5616
30_June_22h_22m,24,1.329648682136118e-06,1.366,0.6259,0.5595
30_June_22h_22m,25,0.0005989714466027927,1.5952,0.6039,0.4568
30_June_22h_22m,26,0.0005933038770266182,1.5759,0.5914,0.5092
30_June_22h_22m,27,0.0005827736820845059,1.6645,0.6018,0.5634
30_June_22h_22m,28,0.000567555457596421,1.3821,0.6058,0.55
30_June_22h_22m,29,0.0005479015292218136,1.4067,0.6099,0.5273
30_June_22h_22m,30,0.0005241377687758746,1.3787,0.6109,0.5784
30_June_22h_22m,31,0.0004966581911142946,1.6785,0.6226,0.5717
30_June_22h_22m,32,0.0004659184211728409,1.4378,0.6283,0.5755
30_June_22h_22m,33,0.000432428139481453,1.3514,0.629,0.5451
30_June_22h_22m,34,0.0003967426314099569,1.4208,0.6425,0.5765
30_June_22h_22m,35,0.0003594535802630645,1.6651,0.6403,0.573
30_June_22h_22m,36,0.0003211792568796825,1.2772,0.6502,0.5912
30_June_22h_22m,37,0.0002825542683978043,1.4845,0.658,0.5791
30_June_22h_22m,38,0.000244219036155516,1.4006,0.6595,0.5926
30_June_22h_22m,39,0.000206809177189699,1.3127,0.6628,0.5788
30_June_22h_22m,40,0.00017094496539241553,1.1922,0.6697,0.5955
30_June_22h_22m,41,0.0001372210470641911,1.4759,0.6717,0.6011
30_June_22h_22m,42,0.00010619658138539458,1.5383,0.6751,0.614
30_June_22h_22m,43,7.838596928154931e-05,1.2317,0.6759,0.6176
30_June_22h_22m,44,5.425032440256327e-05,1.3416,0.6826,0.6149
30_June_22h_22m,45,3.418982763124031e-05,1.2174,0.6866,0.6129
30_June_22h_22m,46,1.853709188708951e-05,1.2658,0.6852,0.6053
30_June_22h_22m,47,7.551647240253774e-06,1.8122,0.683,0.6127
30_June_22h_22m,48,1.4156377750866762e-06,1.9296,0.6879,0.6073
30_June_22h_22m,49,0.000599957296572517,1.3064,0.6758,0.5752
30_June_22h_22m,50,0.0005990091676540127,1.665,0.6515,0.575
