time,epoch,lr,train_loss,Train_OA,Val_OA
01_July_14h_58m,1,0.0004638167927314636,1.0282,0.6164,0.7138
01_July_14h_58m,2,0.0004668883999415417,0.7832,0.7119,0.7501
01_July_14h_58m,3,1.7290194615354534e-06,0.6541,0.7681,0.8191
01_July_14h_58m,4,0.00046841480921238965,1.1243,0.7629,0.8115
01_July_14h_58m,5,0.00017455608382488394,0.591,0.8021,0.8411
01_July_14h_58m,6,1.9285255383701893e-06,0.4616,0.8364,0.8448
01_July_14h_58m,7,0.0005690920464304148,0.5507,0.8081,0.8265
01_July_14h_58m,8,0.00046917564008295746,0.6384,0.8242,0.8396
01_July_14h_58m,9,0.00032558323436180254,0.5795,0.8419,0.8531
01_July_14h_58m,10,0.0001753925914798514,0.4803,0.8575,0.8545
01_July_14h_58m,11,5.7385239717880956e-05,0.5243,0.8727,0.8588
01_July_14h_58m,12,2.032487819762315e-06,0.3137,0.8786,0.863
01_July_14h_58m,13,0.0005940491568135133,0.6458,0.8482,0.8506
01_July_14h_58m,14,0.0005692951637253578,0.4378,0.8504,0.8461
01_July_14h_58m,15,0.0005268691142442758,0.538,0.8583,0.8656
01_July_14h_58m,16,0.00046955545894154,0.8328,0.867,0.8658
01_July_14h_58m,17,0.00040111573211509485,0.4377,0.872,0.8617
01_July_14h_58m,18,0.00032604167972739644,0.4841,0.8814,0.8649
01_July_14h_58m,19,0.0002492604630535442,0.5099,0.8868,0.8545
01_July_14h_58m,20,0.00017581128572539674,0.4589,0.8945,0.863
01_July_14h_58m,21,0.00011051466735937557,0.3823,0.8988,0.8729
01_July_14h_58m,22,5.7656069565392805e-05,0.3086,0.9025,0.8719
01_July_14h_58m,23,2.0704638177772045e-05,0.2846,0.9054,0.8803
01_July_14h_58m,24,2.0855208474266887e-06,0.7046,0.9072,0.881
01_July_14h_58m,25,0.0005992589088114425,0.366,0.888,0.8587
01_July_14h_58m,26,0.0005940946707044226,0.3779,0.8796,0.867
01_July_14h_58m,27,0.0005840855608998725,0.4887,0.8831,0.8577
01_July_14h_58m,28,0.0005693964848000405,0.4287,0.8861,0.8141
01_July_14h_58m,29,0.0005502694527385327,0.3691,0.8909,0.8531
01_July_14h_58m,30,0.0005270195927314776,0.3213,0.8912,0.8598
01_July_14h_58m,31,0.0005000299585760208,0.4868,0.8952,0.8716
01_July_14h_58m,32,0.00046974521883548634,0.3512,0.8989,0.8697
01_July_14h_58m,33,0.00043666433068852644,0.3745,0.9024,0.8831
01_July_14h_58m,34,0.0004013323193444886,0.5065,0.9039,0.8748
01_July_14h_58m,35,0.0003643312984634988,0.3755,0.9083,0.8845
01_July_14h_58m,36,0.0003262708795246125,0.4574,0.9107,0.8832
01_July_14h_58m,37,0.0002877781281527871,0.3149,0.9131,0.8883
01_July_14h_58m,38,0.00024948723287952714,0.7899,0.9168,0.8844
01_July_14h_58m,39,0.00021202905654985952,0.3504,0.9176,0.89
01_July_14h_58m,40,0.00017602074252176061,0.2367,0.9211,0.892
01_July_14h_58m,41,0.00014205554690142156,0.4013,0.9234,0.8961
01_July_14h_58m,42,0.00011069306433367995,0.3711,0.9247,0.8951
01_July_14h_58m,43,8.245000838291139e-05,0.4279,0.9263,0.8906
01_July_14h_58m,44,5.779169840250836e-05,0.2413,0.9284,0.8938
01_July_14h_58m,45,3.712439315128979e-05,0.4546,0.9295,0.896
